,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
154,2018-08-05 21:00:00-05:00,31761,1.15674,1.1572,1.15298,1.15527,1.15644,1.15701,1.15291,1.15517,1.15704,1.1574,1.15305,1.15537
155,2018-08-06 21:00:00-05:00,34180,1.15527,1.16084,1.155,1.15982,1.15517,1.16077,1.15476,1.15972,1.15537,1.1609,1.15519,1.15993
156,2018-08-07 21:00:00-05:00,33812,1.15982,1.1628,1.15732,1.16104,1.15972,1.16273,1.15725,1.16096,1.15993,1.16288,1.15739,1.16111
157,2018-08-08 21:00:00-05:00,36446,1.16104,1.16192,1.15256,1.15263,1.16096,1.16185,1.15247,1.15248,1.16111,1.16199,1.15263,1.15278
158,2018-08-09 21:00:00-05:00,94064,1.15263,1.15368,1.13882,1.14119,1.15248,1.15361,1.13875,1.14089,1.15278,1.15376,1.13888,1.14149
159,2018-08-12 21:00:00-05:00,75061,1.14119,1.14328,1.13652,1.14094,1.14089,1.14321,1.13645,1.14081,1.14149,1.14339,1.13659,1.14108
160,2018-08-13 21:00:00-05:00,54349,1.14094,1.14294,1.133,1.13436,1.14081,1.14287,1.13292,1.13423,1.14108,1.14301,1.13308,1.13449
161,2018-08-14 21:00:00-05:00,57188,1.13436,1.13554,1.1301,1.13462,1.13423,1.13547,1.13003,1.13451,1.13449,1.1356,1.13016,1.13473
162,2018-08-15 21:00:00-05:00,61294,1.13462,1.14091,1.13358,1.13762,1.13451,1.14084,1.13351,1.13752,1.13473,1.14098,1.13365,1.13773
163,2018-08-16 21:00:00-05:00,50295,1.13762,1.1445,1.13666,1.14376,1.13752,1.14443,1.13658,1.14346,1.13773,1.14456,1.13672,1.14406
164,2018-08-19 21:00:00-05:00,38513,1.14376,1.14853,1.13946,1.14825,1.14346,1.14846,1.13938,1.14806,1.14406,1.1486,1.13953,1.14844
165,2018-08-20 21:00:00-05:00,58070,1.14825,1.16015,1.1481,1.15707,1.14806,1.16007,1.14779,1.15698,1.14844,1.16023,1.14831,1.15716
